Year,Jeff Bezos,Elon Musk,Bernard Arnault,Bill Gates,Warren Buffett,Larry Page,Sergey Brin,Larry Ellison,STEVE BALLMER,Mukesh Ambani,GAUTAM ADANI,Michael Bloomberg,Carlos Slim Helu,Mark Zuckerberg,Amancio Ortega,Charles Koch,David Koch,Li Ka-shing,Liliane Bettencourt,Sheldon Adelson,Christy Walton,Jim Walton,Alice Walton,Robson Walton,Eike Batista,Stefan Persson,Karl Albrecht
2012,18.4,2,41,61,44,0,0,36,0,0,0,0,69,0,37.5,25,25,25.5,24,0,0,0,0,0,30,26,25.4
2013,25.2,2.7,29,67,53.5,23,22.8,43,15.2,21.5,3.1,27,73,13.3,57,34,34,31,30,26.5,28.2,26.7,0,0,10.6,28,26
2014,32,8.4,33.5,76,58.2,32.3,31.8,48,19.3,18.6,2.8,33,72,28.5,64,40,40,31,34.5,38,36.7,34.7,0,0,0,0,0
2015,34.8,12,37.2,79.2,72.7,29.7,29.2,54.3,21.5,21,6.6,35.5,77.1,33.4,64.5,42.9,42.9,0,40.1,31.4,41.7,40.6,0,0,0,0,0
2016,45.2,10.7,34,75,60.8,35.2,34.4,43.6,23.5,19.3,3.5,40,50,44.6,67,39.6,39.6,0,36.1,,5.2,33.6,0,0,0,0,0
2017,72.8,13.9,41.5,86,75.6,40.7,39.8,52.2,30,23.2,5.8,47.5,54.5,56,71.3,48.3,48.3,0,0,0,0,0,0,0,0,0,0
2018,112,19.9,72,90,84,48.8,47.5,58.5,38.4,40.1,9.7,50,67.1,71,70,60,60,0,0,0,0,0,0,0,0,0,0
2019,131,22.3,76,96.5,82.5,50.8,49.8,62.5,41.2,50,8.7,55.5,64,62.3,62.7,43.5,43.5,0,0,0,0,46.4,44.6,45.6,0,0,0
2020,113,24.6,76,98,67.5,50.9,49.1,59,52.7,36.8,8.9,48,52.1,54.7,55.1,0,0,0,0,0,0,54.6,54.4,54.1,0,0,0
2021,177,151,150,124,96,91.5,89,93,68.7,84.5,50.5,59,62.8,97,55.9,0,0,0,0,0,0,55,55,55,0,0,0
2022,171,219,158,129,118,111,107,106,91.4,90.7,90,82,81.2,67.3,0,0,0,0,0,0,0,0,0,0,0,0,0
