Year,Lionel Messi,LeBron James,Cristiano Ronaldo,Neymar,Stephen Curry,Kevin Durant,Roger Federer,Canelo Alvarez,Tom Brady,Giannis Antetokounmpo,Conor McGregor,Dak Prescott,Lewis Hamilton,Tiger Woods,Kirk Cousins,Carson Wentz,Russell Wilson,Aaron Rodgers,Floyd Mayweather Jr.,Matt Ryan,Matthew Stafford,Andrew Luck,Rory McIlroy,James Harden,Novak Djokovic,Cam Newton,Phil Mickelson,Jordan Spieth,Kobe Bryant,Manny Pacquiao,Rafael Nadal,Drew Brees,David Beckham,Peyton Manning
2012,35,53,42.5,,,,52.7,,,,,,,59.4,,,,35,85,,,,,,,,47.8,,52.3,62,,35,46,42.4
2013,41.3,59.8,44,,,,71.5,,,,,,,78.1,,,,49,35,35,,,,,,,48.7,,61.9,35,35,51,47.2,35
2014,64.7,72.3,80,,,35,56.2,,,,,,,61.2,,,,35,105,43.8,,,,,,,53.2,,61.5,35,44.5,35,35,
2015,73.8,64.8,79.6,,,54.1,67,,,,,,,50.6,,,,,300,40,,,,,40,40,50.8,40,49.5,160,40,,,
2016,81.4,77.2,88,,40,56.2,67.8,,,,,,40,40,,,,,40,,,40,40,40,55.8,53.1,52.9,52.8,50,40,,,,
2017,80,86.2,93,40,47.3,60.6,64,,,,40,,46,,,,,,40,40,40,50,50,46.4,40,40,40,40,40,,,,,
2018,111,85.5,108,90,76.9,,77.2,55,,,99,,55,,,,55,55,285,67.3,59.5,55,55,55,,,,,,,,,,
2019,127,89,109,105,79.8,65.4,93.4,94,,,55,,,55,55,55,89.5,89.3,55,55,55,,,,,,,,,,,,,
2020,104,88.2,105,95.5,74.4,63.9,106.3,55,55,,55,55,55,62.3,60.5,59.1,55,55,,,,,,,,,,,,,,,,
2021,130,96.5,120,95,60,75,90,60,76,60,180,97.5,82,60,60,60,,,,,,,,,,,,,,,,,,
2022,130,121.2,115,95,92.8,92.1,90.7,90,83.9,80.9,70,70,70,,,,,,,,,,,,,,,,,,,,,
